iter	Passed	Remaining
0	156	156616
1	157	78767
2	158	52779
3	159	39798
4	162	32257
5	163	27030
6	164	23308
7	165	20554
8	166	18365
9	167	16620
10	168	15192
11	171	14089
12	172	13101
13	174	12279
14	176	11571
15	178	10955
16	179	10396
17	181	9895
18	183	9460
19	184	9052
20	185	8667
21	187	8314
22	188	7997
23	189	7705
24	190	7429
25	191	7173
26	192	6936
27	193	6713
28	194	6514
29	195	6334
30	197	6185
31	199	6034
32	200	5878
33	201	5729
34	202	5584
35	203	5456
36	204	5334
37	206	5216
38	207	5102
39	208	5002
40	209	4901
41	210	4812
42	212	4729
43	213	4641
44	214	4556
45	215	4476
46	217	4400
47	218	4324
48	219	4251
49	220	4180
50	220	4111
51	221	4046
52	223	3985
53	224	3927
54	226	3891
55	228	3846
56	229	3796
57	230	3746
58	232	3706
59	233	3657
60	234	3608
61	235	3562
62	236	3516
63	237	3472
64	238	3431
65	241	3421
66	242	3380
67	243	3340
68	244	3302
69	246	3270
70	247	3234
71	248	3198
72	249	3163
73	250	3129
74	251	3096
75	252	3064
76	252	3032
77	253	3002
78	256	2987
79	257	2961
80	258	2934
81	259	2909
82	260	2877
83	261	2851
84	262	2824
85	263	2799
86	264	2774
87	265	2749
88	266	2727
89	267	2703
90	268	2681
91	270	2669
92	271	2650
93	272	2630
94	273	2609
95	275	2591
96	276	2570
97	277	2550
98	278	2532
99	279	2515
100	280	2497
101	281	2478
102	282	2461
103	283	2444
104	285	2429
105	286	2415
106	287	2398
107	288	2381
108	289	2365
109	290	2350
110	291	2335
111	293	2324
112	294	2315
113	297	2310
114	298	2300
115	301	2299
116	303	2287
117	305	2281
118	307	2274
119	308	2265
120	310	2257
121	311	2243
122	312	2230
123	315	2229
124	316	2216
125	317	2204
126	318	2190
127	319	2177
128	320	2165
129	321	2152
130	322	2140
131	323	2127
132	324	2115
133	325	2103
134	326	2091
135	327	2080
136	329	2073
137	330	2064
138	331	2053
139	332	2043
140	333	2033
141	334	2021
142	335	2010
143	336	2002
144	337	1992
145	338	1982
146	339	1972
147	340	1962
148	341	1952
149	342	1943
150	344	1936
151	345	1928
152	346	1918
153	347	1909
154	348	1899
155	349	1891
156	350	1882
157	351	1874
158	352	1865
159	353	1857
160	354	1846
161	355	1839
162	356	1830
163	357	1822
164	359	1817
165	360	1810
166	361	1802
167	362	1794
168	363	1787
169	364	1780
170	365	1772
171	367	1769
172	368	1762
173	369	1755
174	370	1747
175	371	1740
176	372	1733
177	373	1726
178	374	1719
179	376	1713
180	377	1706
181	378	1698
182	379	1692
183	379	1684
184	381	1680
185	382	1675
186	384	1669
187	385	1663
188	386	1658
189	387	1652
190	388	1647
191	390	1642
192	392	1640
193	393	1635
194	394	1630
195	397	1631
196	398	1625
197	400	1622
198	401	1617
199	403	1613
200	404	1609
201	405	1603
202	407	1598
203	408	1592
204	409	1588
205	411	1587
206	413	1582
207	414	1577
208	415	1573
209	416	1567
210	417	1562
211	418	1557
212	420	1552
213	421	1546
214	422	1543
215	424	1539
216	426	1538
217	427	1533
218	428	1528
219	429	1522
220	430	1517
221	431	1512
222	432	1508
223	434	1503
224	435	1499
225	436	1494
226	437	1490
227	438	1485
228	441	1484
229	443	1484
230	448	1494
231	454	1503
232	467	1539
233	468	1534
234	470	1532
235	481	1558
236	483	1556
237	485	1553
238	486	1550
239	489	1550
240	491	1548
241	495	1552
242	498	1552
243	503	1560
244	505	1556
